Link;KvK/ID;Vestnr;RSIN;Vennootschapsnaam;Rechtsvorm;Hoofd/Neven;Status;SBI Hoofdact;Omschrijving (hoofdact);SBI Nevenact1;Omschrijving (nevenact1);SBI Nevenact2;Omschrijving (nevenact2);Non-Mailing;Straatnaam;Huisnr;Toevoeging huisnr;Postcode;Woonplaats;Straatnaam CA;Huisnr CA;Toevoeg huisnr CA;Postcode CA;Woonplaats CA;Gemeente;Provincie;Landcode;Tel. Netnr.;Tel. Abnnr.;Domeinnaam;Functie;Voorletters;Voorvoegsels;Achternaam;Sexe;Mobiel Nr.;Employees;Werknemers;Econ. Actief;Import;Export;Aantal Dochters;Datum Inschrijving;Datum akte oprichting;Datum opheffing;Datum oprichting;Datum voortzetting;Huidig adres;Dep. jaarstuk;Soort jaarstuk;Auditor;YearTPE;Turnover (€);Profit (€);Total assets (€);Stock exchange;Banks;Ultimate (Dutch) Parent
Trafigura Beheer B.V.;332369390000;000010303545;006263744;Trafigura Beheer B.V.;B.V.;H;Ingeschreven;46713;GH minerale olieproducten (geen brandst);6420;Financiële holdings;;;Geactiveerd;Gustav Mahlerplein;102;;1082MA;AMSTERDAM;Postbus;75117;;1070AC;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5041800;www.trafigura.com;Bestuurder;C.;;Dauphin;M;;5326;20-49;1;N;N;1;3/24/92;1/14/83;;1/14/83;;3/31/07;2013;Vastgesteld jaarstuk;E&Y;2014;94.242.670.776;767.824.688;29.226.227.249;;ABN AMRO;
IBM International Group B.V.;341253130000;000006332072;808615464;IBM International Group B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Johan Huizingalaan;765;;1066VH;AMSTERDAM;Postbus;9999;;1006CE;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5137415;;Bestuurder;P.N.J.;;Snoek;M;;188188;10-19;1;N;N;33;12/21/99;12/17/99;;12/17/99;;4/25/07;2013;Vastgesteld jaarstuk;PwC;2013;51.671.803.273;6.750.244.479;45.744.021.869;;;
Louis Dreyfus Holding B.V.;342741270000;000017599415;817984604;Louis Dreyfus Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Zuidplein;208;WTC, H-25;1077XV;AMSTERDAM;Zuidplein;208;WTC, H-25;1077XV;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;3330021;;Bestuurder;C.G.F.;;Caperton;M;;36028;5-9;1;N;N;3;5/19/10;5/18/07;;5/18/07;;6/8/10;2013;Vastgesteld jaarstuk;Deloitte;2013;49.573.118.785;156.399.634;17.412.106.745;;;
Gunvor International B.V.;342753730000;000018443974;818096731;Gunvor International B.V.;B.V.;H;Ingeschreven;46712;GH vloeibare en gasvormige brandstoffen;64301;Beleggingsinstell. in financiële activa;;;Geactiveerd;Barbara Strozzilaan;201;;1083HN;AMSTERDAM;Barbara Strozzilaan;201;;1083HN;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;2050170;www.gunvorgroup.com;Bestuurder;T.;;Törnqvist;M;;307;2-4;1;N;N;;6/5/07;7/10/07;;7/10/07;7/10/07;4/25/14;2012;;PwC;2010;43.554.316.469;50.132.772;5.446.779.726;;;
Bank of America, National Association;331081910000;000011094842;001418117;Bank of America, National Association;Buitenlandse op EG-vennootschap lijkende vennootsc;H;Ingeschreven;64194;Algemene banken;;;;;;Amstelplein;1;Rembrandt To;1096HA;AMSTERDAM;Postbus;1638;;1000BP;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5925666;www.bankofamerica.com;Bestuurder;B.T.;;Moynihan;M;;242000;10-19;1;N;N;;8/27/62;;;;;12/10/11;2013;Buitenland;PwC;2013;41.985.762.000;8.722.996.100;1.604.244.526.300;;;
Koninklijke Ahold N.V.;350003630000;000011878002;001028789;Koninklijke Ahold N.V.;N.V.;H;Ingeschreven;70102;Holdings (geen financiële);8219;Secretariële dienstverlening;;;Geactiveerd;Provincialeweg;11;;1506MA;ZAANDAM;Postbus;3000;;1500HA;ZAANDAM;Zaanstad;Noord-Holland;NL;088;6599111;www.ahold.com;Bestuurder;A.D.;;Boer;M;;123000;10-19;1;N;N;82;;4/29/20;;4/29/20;5/26/20;6/17/13;2012;Vastgesteld jaarstuk;Deloitte;2013;32.615.000.000;2.537.000.000;15.142.000.000;AEX, EuroNext;ABN AMRO, ING Bank;
Abbott Healthcare B.V.;320612640000;000017014123;005633187;Abbott Healthcare B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;C J van Houtenlaan;36;;1381CP;WEESP;Postbus;164;;1380AD;WEESP;Weesp;Noord-Holland;NL;0294;477000;;Bestuurder;M.M.;;Vrouwenvelder;V;;93;2-4;1;N;N;;10/19/95;12/24/80;;12/24/80;;11/14/00;2012;Vastgesteld jaarstuk;Deloitte;2012;30.550.991.103;4.568.729.675;51.514.741.743;;ABN AMRO, Fortis Bank;
Dell Global B.V.;332387390000;000016015495;802410789;Dell Global B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;64922;Volkskredietbanken/commerciële financ.;64301;Beleggingsinstell. in financiële activa;Geactiveerd;Transformatorweg;38;- 72;1014AK;AMSTERDAM;Transformatorweg;38;- 72;1014AK;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6745500;;Bestuurder;S.A.;;Creed;V;;790;;0;N;N;;6/9/92;5/14/92;;5/14/92;;11/1/05;2014;Vastgesteld jaarstuk;PwC;2014;29.044.732.014;-691.182.536;13.233.430.069;;Citybank;Dell Int. Holdings XII Cöoperatief UA
ING Groep N.V.;332310730000;000013701517;009549420;ING Groep N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;70101;Concerndiensten binnen eigen concern;;;Geactiveerd;Bijlmerplein;888;;1102MG;AMSTERDAM;Postbus;1800;;1000BV;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5639111;;Bestuurder;P.G.;;Flynn;M;;74517;5-9;1;N;N;204;8/9/91;1/21/91;;1/21/91;;8/20/12;2013;Vastgesteld jaarstuk;Ernst & Young;2013;24.304.000.000;2.998.000.000;1.076.602.000.000;AEX, EuroNext, New York;ING Bank;
The Royal Bank of Scotland plc, The Neth. Br.;551033160000;000024794228;823550229;The Royal Bank of Scotland public limited company;Buitenlandse EG-vennootschap met onderneming in Ne;H;Ingeschreven;64194;Algemene banken;70101;Concerndiensten binnen eigen concern;;;;Gustav Mahlerlaan;350;;1082ME;AMSTERDAM;Postbus;12925;;1100AX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;4649999;;Bestuurder;P.R.;;Hampton;M;;;1000>;1;N;N;;4/13/12;10/31/84;;10/31/84;;;2013;Vastgesteld jaarstuk;;2011;22.542.376.710;1.894.588.860;1.653.185.701.230;;;
